Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Normalised Votes
Char Diwari,1961,136,"Drama, Romance",6.7,24,Krishan Chopra,Shashi Kapoor,Nanda,Manmohan Krishna,0.5714285714285714
Char Paise,1955,118,"Action, Crime, Drama",5.6,11,N.K. Ziree,Shyama,Kishore Kumar,Agha,0.4583333333333333
Charandas Chor,1975,156,Drama,8.0,44,Shyam Benegal,Lalu Ram,Madan Lal,Babu Das,0.7857142857142857
Charas,1976,159,"Action, Drama, Romance",6.5,176,Ramanand Sagar,Dharmendra,Hema Malini,Ajit,3.6666666666666665
Charas: A Joint Effort,2004,140,"Action, Crime, Thriller",5.3,336,Tigmanshu Dhulia,Jimmy Sheirgill,Uday Chopra,Irrfan Khan,1.0
Charitraheen,1974,100,"Drama, Family",7.1,58,Shakti Samanta,Sharmila Tagore,Sanjeev Kumar,Yogeeta Bali,0.9914529914529915
Charlie Kay Chakkar Mein,2015,102,Thriller,4.5,159,Manish Srivastav,Naseeruddin Shah,Nishant Lal,Disha Arora,0.7871287128712872
Chase,2010,103,"Action, Crime, Drama",4.9,87,Jag Mundhra,Anuj Saxena,Udita Goswami,Tarina Patel,0.15263157894736842
Chashme Baddoor,2013,121,"Comedy, Drama",5.4,4981,David Dhawan,Ali Zafar,Siddharth,Divyendu Sharma,8.769366197183098
Chashme Buddoor,1981,145,"Comedy, Family, Romance",8.0,2328,Sai Paranjape,Farooq Shaikh,Deepti Naval,Saeed Jaffrey,41.57142857142857
Chatpati,1983,130,Comedy,5.9,7,V. Ravindra,Smita Patil,Raj Kiran,Reema Lagoo,0.11290322580645161
Chatur Singh Two Star,2011,150,"Action, Adventure, Comedy",1.7,624,Ajay Chandhok,Sanjay Dutt,Ameesha Patel,Anupam Kher,1.7478991596638656
Chauhar,2017,123,Drama,6.8,15,Raghubeer Singh,Muntazir Ahmad,Richa Dixit,Vivek Jha,0.10948905109489052
Chauraha,1994,154,"Action, Crime, Drama",3.9,25,Sadaqat Hussein,Jeetendra,Jackie Shroff,Jaya Prada,0.10438413361169102
Chauranga,2014,88,Drama,6.5,299,Bikas Ranjan Mishra,Sanjay Suri,Tannishtha Chatterjee,Riddhi Sen,0.7952127659574468
Chausar,2018,85,Drama,6.4,82,Sagar Sarhadi,Sanjeev Giriwer,Nawazuddin Siddiqui,Amruta Subhash,0.31721470019342357
Cheeni Kum,2007,140,"Comedy, Drama, Romance",6.8,4997,R. Balki,Amitabh Bachchan,Tabu,Paresh Rawal,8.483870967741936
Chef,2017,133,"Comedy, Drama, Family",5.7,2229,Raja Menon,Saif Ali Khan,Padmapriya,Svar Kamble,16.27007299270073
Chehere: A Modern Day Classic,2015,106,Thriller,5.8,22,Rohit Kaushik,Divya Dutta,Manisha Koirala,Jackie Shroff,0.10891089108910891
Chehraa,2005,136,Thriller,3.8,140,Saurabh Shukla,Bipasha Basu,Dino Morea,Preeti Jhangiani,0.29045643153526973
Chehre Pe Chehra,1981,140,"Drama, Horror, Romance",6.1,53,Raj Tilak,Sanjeev Kumar,Rekha,Vinod Mehra,0.9464285714285714
Cheluvi,1992,102,Drama,7.5,86,Girish Karnad,Girish Karnad,Sonali Kulkarni,Prashant Rao,0.7782805429864253
Chemmeen,1965,140,"Drama, Romance",7.7,475,Ramu Kariat,Sathyan,Sheela,Madhu,11.176470588235293
